#{"t_start": 1730432401.2378018, "env_id": null}
r,l,t
7400,6148,29.225689
7400,6991,65.708354
54900,16804,148.820632
122000,18516,241.135649
27300,8178,287.865878
39500,9342,330.922469
66700,19585,432.439803
25100,8814,477.382852
46000,11568,537.940799
30700,11882,599.820997
70300,14347,661.75104
5600,7628,695.771143
51800,13753,754.820604
84700,22717,855.933359
6700,7100,888.87025
7200,6440,920.436957
4500,6490,946.540122
23100,9189,990.613528
37500,13308,1048.832364
71500,19817,1139.514889
98100,22535,1241.892829
17700,8446,1277.674162
26800,15306,1346.459908
11000,10239,1392.331047
52200,13112,1450.428621
31600,11693,1499.107985
53100,15559,1574.517528
22500,7499,1602.411975
43400,10680,1655.657841
30700,8490,1691.818063
56800,13230,1749.650796
65000,13690,1808.970777
13400,9081,1852.599656
51200,12579,1909.92734
23500,8191,1945.449089
6500,5691,1969.808939
21800,9253,2013.597714
3000,5725,2037.613868
73600,14833,2105.326875
3300,4818,2127.420432
7200,5608,2151.230448
47300,13075,2209.104139
40400,9721,2253.804169
43500,12994,2311.390756
107500,38323,2483.633807
19800,8806,2520.531859
36400,12606,2577.970615
25500,7673,2612.430916
86200,18218,2699.796123
29300,6925,2726.806752
46200,10831,2774.385261
30200,11204,2828.66981
70600,20425,2921.056214
18600,7363,2954.923671
14000,11513,3003.355227
36000,10098,3048.897717
27000,8762,3092.333928
47700,7401,3120.021417
37600,14554,3188.534278
26500,8782,3231.563504
5500,6287,3257.148971
62600,11766,3312.52255
47200,13946,3372.336954
64000,15627,3442.649902
16700,8156,3477.882306
48700,9218,3521.753187
23900,8875,3558.756872
22600,8194,3600.817747
15200,8076,3636.3045
57800,10399,3682.632292
6000,5951,3707.187395
26700,7645,3741.58296
29500,7199,3775.373316
33500,10141,3820.94347
5800,6587,3847.087457
22000,8153,3888.379915
5900,4880,3910.827831
20000,8920,3947.252398
99700,35509,4105.544683
26700,7357,4139.597686
54100,17630,4220.633187
57900,11909,4269.701523
7900,8927,4313.637514
39900,17038,4386.27958
27400,6694,4418.674342
46100,11538,4473.406849
7900,7938,4508.261003
4600,4614,4530.230045
44100,12403,4580.970455
5000,5514,4610.971751
15500,10024,4650.537546
68400,15071,4718.796615
55100,13027,4776.094861
60200,12212,4831.800324
48300,6432,4863.235459
24100,7559,4897.028815
31600,13720,4956.558078
50700,14233,5023.681674
28100,7683,5058.664421
59300,11660,5107.252507
42200,11811,5162.582749
105100,26367,5278.486047
46600,16536,5349.552191
5900,6914,5382.164503
15600,7149,5415.129101
22400,15763,5483.814016
35200,14507,5550.478002
5900,5441,5573.945274
28000,13225,5631.795493
4500,4196,5652.932116
73200,10792,5699.759272
130000,29276,5828.217711
70300,14889,5896.041566
34900,10014,5941.502336
53600,12052,5998.283715
11900,7230,6031.780954
108400,31556,6171.684822
31400,7321,6205.306583
21700,8232,6240.84108
3900,6201,6265.855087
65000,8686,6308.236389
34900,13057,6365.517064
5000,6172,6390.689448
31200,11078,6444.209899
58400,15065,6511.65846
49800,13653,6570.622051
58600,10672,6617.133886
56300,10300,6662.927049
42600,17950,6742.725724
38000,9166,6786.191489
70100,17182,6858.272234
53100,11894,6913.200492
24900,10623,6959.343031
61000,9578,7003.657204
23500,6240,7028.962406
129700,38539,7199.300381
60600,13607,7263.642643
7100,6101,7288.535135
51500,16694,7365.715063
32500,11453,7413.634444
63400,11227,7467.639322
44800,12561,7517.824673
42600,11008,7571.190364
91400,27051,7688.68658
31000,14513,7756.089363
16700,7663,7790.59433
45500,11950,7845.735322
71500,14335,7907.033365
33400,12387,7964.235255
45300,10861,8011.429808
32600,13843,8076.63265
6000,5868,8100.9949
62200,12969,8159.355726
69400,8399,8195.197111
48100,11138,8249.455017
69100,18559,8332.762473
56500,14582,8400.411542
39600,8493,8436.156323
100600,33768,8586.397233
49800,10570,8634.059138
84100,21675,8734.880934
62700,11939,8784.462965
24600,7516,8818.94244
54600,12784,8877.242157
6500,6416,8909.570623
42800,13209,8967.953641
47500,9906,9013.355659
69900,15403,9081.941453
55800,12236,9138.064245
36700,13030,9195.540232
43700,11770,9243.905875
46600,12232,9299.754116
40600,12941,9357.775704
28700,10140,9403.515812
63100,11093,9451.259251
28700,8276,9493.461772
46800,13595,9552.756779
21800,7906,9588.15878
22100,7557,9623.184601
35100,14956,9691.376823
19200,7901,9726.539365
42000,12236,9782.5637
47200,10562,9828.938754
22300,6741,9861.663577
35500,9500,9899.537409
34500,10984,9953.280856
64200,11327,10001.699286
43300,12462,10058.598334
58600,12294,10114.801772
44700,14235,10174.953478
76600,16440,10252.019624
73000,14632,10312.550665
46900,11997,10368.562702
44700,9265,10412.457047
47400,12341,10462.309468
109600,22389,10564.158502
46400,11792,10619.539454
5900,5970,10644.028696
52900,10256,10689.685381
33400,6833,10722.322022
47500,10156,10767.919137
35300,12538,10824.427804
49200,8678,10860.736612
6500,4776,10883.193677
32100,12941,10941.063562
40800,10427,10987.875997
5700,5046,11010.966328
47800,13486,11070.455379
54200,14611,11138.462003
26400,10197,11185.114806
70900,8125,11221.263077
55800,15497,11291.908779
7900,5234,11315.468291
76900,13968,11383.900298
33600,11687,11433.577434
26200,7832,11468.905911
53400,14296,11536.551391
20400,15608,11606.220013
37900,10861,11653.768592
47900,14552,11721.49945
4000,5926,11746.240286
53300,12103,11803.758896
30000,10384,11851.475817
70900,10719,11900.7941
3600,5234,11924.419837
97600,10619,11971.428038
32900,12033,12028.546977
73100,8114,12064.130628
50000,14920,12134.031726
23600,6383,12166.668945
18500,11597,12216.792344
122300,27361,12344.521362
65700,12207,12401.210555
42900,11263,12449.693342
40700,11471,12506.004714
44500,8527,12543.114753
124600,25468,12660.416728
67300,14140,12722.238423
44500,12870,12781.554495
54100,13938,12849.30233
52100,10104,12896.046708
81800,20601,12990.218817
55100,7873,13026.053979
45200,9218,13064.518754
45400,13408,13131.757726
126200,21368,13229.979232
70400,17329,13310.964204
51200,12768,13369.610672
52600,14588,13433.136235
39200,13959,13502.43121
87900,22725,13609.334221
45300,17368,13690.689175
167400,32066,13835.187301
148500,41914,14036.612186
46000,8711,14074.504422
50500,14748,14145.364114
144800,22641,14252.600624
41800,10348,14301.65345
65300,13102,14362.636084
49800,12333,14416.056332
59500,12958,14483.745766
177800,36984,14655.655495
118200,23267,14765.842494
56300,10603,14817.510342
